09/08/2007,9213.469727,9219.019531,9140.469727,9182.599609,9182.56543,5712600
10/08/2007,8870.269531,8969.30957,8870.269531,8931.30957,8931.276367,5535000
13/08/2007,9030.820313,9030.929688,8913.400391,8938.959961,8938.926758,5061000
14/08/2007,8952.540039,9023.259766,8840.259766,8910.990234,8910.957031,4770600
15/08/2007,8782.049805,8808.589844,8561.019531,8593.040039,8593.007813,5640000
16/08/2007,8397.240234,8438.080078,8166.080078,8201.370117,8201.337891,5927000
17/08/2007,8209.910156,8307.370117,7987.609863,8090.290039,8090.259277,5981200
20/08/2007,8496.969727,8516.75,8397.259766,8515.599609,8515.567383,4327200
21/08/2007,8542.129883,8586.730469,8424.009766,8479.080078,8479.047852,4632800
22/08/2007,8487.240234,8512.450195,8432.320313,8493.459961,8493.427734,4030000
23/08/2007,8699.400391,8735.099609,8686.05957,8732.839844,8732.807617,4880200
24/08/2007,8727.089844,8741.639648,8668.049805,8690.089844,8690.057617,4262400
27/08/2007,8849.959961,8849.959961,8704.589844,8718.30957,8718.277344,3802600
28/08/2007,8697.150391,8753.389648,8672.80957,8727.549805,8727.517578,3465200
29/08/2007,8514.469727,8643.320313,8514.469727,8643.320313,8643.288086,4016600
30/08/2007,8782.349609,8825.919922,8750.620117,8771.209961,8771.177734,4963200
31/08/2007,8807.700195,8982.160156,8785.700195,8982.160156,8982.126953,5018800
03/09/2007,9018.889648,9019.410156,8947.05957,8979.959961,8979.926758,4732000
04/09/2007,9019.610352,9027.769531,8883.870117,8922.980469,8922.947266,4340200
05/09/2007,9017.509766,9026.299805,8902.139648,8913.849609,8913.816406,4022400
06/09/2007,8896.669922,9017.080078,8841.639648,9017.080078,9017.046875,3979000
07/09/2007,9056.139648,9078.469727,9000.950195,9018.080078,9018.046875,4220600
10/09/2007,8868,8953.450195,8845.900391,8937.580078,8937.546875,3702800
11/09/2007,8981.339844,9017.299805,8953.370117,9003.120117,9003.086914,4252000
12/09/2007,9078.089844,9084.969727,9011.259766,9018.120117,9018.086914,4346400
13/09/2007,9062.30957,9062.30957,8924.620117,8927.419922,8927.386719,4022800
14/09/2007,8995.530273,9046.509766,8952.879883,9031.629883,9031.59668,3897200
17/09/2007,9039.280273,9044.370117,8874.709961,8899.910156,8899.876953,3917000
18/09/2007,null,null,null,null,null,null
19/09/2007,9090.900391,9090.900391,8900.799805,8926.379883,8926.34668,5922000
20/09/2007,8987.519531,9109.519531,8950.620117,8983.030273,8982.99707,4652800
21/09/2007,9018.679688,9105.280273,8994.009766,9105.280273,9105.246094,5025000
26/09/2007,9180.929688,9269.620117,9178.769531,9257.469727,9257.435547,5422200
27/09/2007,9337.040039,9413.650391,9291.719727,9413.650391,9413.616211,6081200
28/09/2007,9447.330078,9474.049805,9411.950195,9411.950195,9411.916016,5558800
01/10/2007,9523.980469,9555.070313,9474.400391,9488.5,9488.464844,6169000
02/10/2007,9597.959961,9642.950195,9582.700195,9623.25,9623.213867,6702600
03/10/2007,9650.030273,9783.75,9618.139648,9700.070313,9700.033203,6654200
04/10/2007,9663.530273,9676.349609,9574.009766,9627.389648,9627.353516,5009200
05/10/2007,9645.629883,9670.129883,9565,9617.259766,9617.223633,4570200
08/10/2007,9736.929688,9744.969727,9683.139648,9717.169922,9717.132813,5043600
09/10/2007,9743.610352,9743.610352,9591.94043,9639.830078,9639.793945,5534400
11/10/2007,9707.929688,9729.469727,9661.230469,9697.669922,9697.632813,5261600
12/10/2007,9677.330078,9731.160156,9490.009766,9496.469727,9496.43457,5735600
15/10/2007,9565.360352,9577.040039,9431.660156,9518.450195,9518.415039,4416000
16/10/2007,9468.879883,9618.030273,9461.269531,9592.469727,9592.433594,5134200
17/10/2007,9582.19043,9616.259766,9492.889648,9562.160156,9562.124023,4530400
18/10/2007,9605.490234,9667.070313,9574.959961,9637.070313,9637.03418,5548400
19/10/2007,9666.580078,9673.959961,9609.580078,9611.719727,9611.683594,4674200
22/10/2007,9278.889648,9381.650391,9275.719727,9360.629883,9360.595703,4841400
23/10/2007,9419.540039,9512.55957,9419.540039,9502.389648,9502.354492,4732400
24/10/2007,9593.200195,9640.490234,9442.620117,9442.620117,9442.585938,4686600
25/10/2007,9546.849609,9573.290039,9503.830078,9568.259766,9568.223633,4653800
26/10/2007,9637.490234,9661.94043,9573,9631.509766,9631.473633,4960800
29/10/2007,9743.730469,9822.370117,9735.429688,9809.879883,9809.842773,5997200
30/10/2007,9854.269531,9859.650391,9727.580078,9757.929688,9757.892578,5465400
31/10/2007,9777.580078,9787.900391,9664.639648,9711.370117,9711.333008,5636800
01/11/2007,9780.589844,9785.75,9556.219727,9598.230469,9598.194336,6153600
02/11/2007,9373.410156,9433.070313,9248.339844,9273.089844,9273.055664,5893000
05/11/2007,9251.860352,9313.849609,9129.490234,9308.599609,9308.56543,5045200
06/11/2007,9324.610352,9368.459961,9278.009766,9292.799805,9292.765625,4565600
07/11/2007,9437.429688,9437.429688,9300.219727,9300.219727,9300.185547,5016400
08/11/2007,9096.030273,9105.629883,8890.099609,8937.580078,8937.546875,5887000
09/11/2007,8962.240234,9016.730469,8853.80957,8970.919922,8970.886719,5196200
12/11/2007,8755.370117,8765.509766,8626.580078,8670.610352,8670.578125,4941200
13/11/2007,8673.200195,8742.410156,8599.389648,8727.209961,8727.177734,4718400
14/11/2007,8965.660156,8993.889648,8940.959961,8942.929688,8942.896484,4834800
15/11/2007,8920.030273,8962.209961,8897.889648,8905.410156,8905.376953,3789200
16/11/2007,8767.209961,8790.570313,8678.549805,8764.820313,8764.788086,4065000
19/11/2007,8818.419922,8838.280273,8680.709961,8680.709961,8680.677734,3681800
20/11/2007,8483.610352,8680.860352,8372.049805,8680.860352,8680.828125,4796600
21/11/2007,8676.959961,8704.080078,8484.110352,8484.110352,8484.078125,4278200
22/11/2007,8431.030273,8573.740234,8390.849609,8499.370117,8499.337891,3930800
23/11/2007,8550.700195,8559.049805,8342.200195,8342.200195,8342.167969,3927200
26/11/2007,8462.929688,8534.269531,8407.339844,8528.330078,8528.297852,3959000
27/11/2007,8319.69043,8454.360352,8207.969727,8375.759766,8375.727539,4142800
28/11/2007,8429.089844,8440.120117,8276.259766,8276.259766,8276.227539,3672600
29/11/2007,8454.570313,8481.450195,8376.089844,8447.030273,8446.998047,4048000
30/11/2007,8499.230469,8590.629883,8499.230469,8586.400391,8586.368164,4540600
03/12/2007,8623.120117,8645.620117,8565.080078,8583.839844,8583.807617,3307600
04/12/2007,8557.320313,8656.889648,8557,8651.280273,8651.248047,3484000
05/12/2007,8626.519531,8705.870117,8601.129883,8676.950195,8676.917969,4147000
06/12/2007,8784.69043,8797.610352,8654.860352,8694.410156,8694.37793,4336000
07/12/2007,8774.570313,8804.929688,8722.379883,8722.379883,8722.347656,4121200
10/12/2007,8700.480469,8706.580078,8594.950195,8598.030273,8597.998047,3179600
11/12/2007,8648.879883,8659.360352,8569.540039,8638.330078,8638.297852,3011800
12/12/2007,8495.589844,8554.120117,8451.650391,8490.839844,8490.807617,3783000
